epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
117,471,,,5180557.0,
117,471,6724380.0,,,
118,472,,6131150.5,,
118,473,,6004060.5,,
118,474,,7433071.5,,
118,475,,9327859.0,,
,118,,,,5180557.0
118,475,,,5180557.0,
118,475,6890850.5,,,
119,476,,5553721.0,,
119,477,,6411278.5,,
119,478,,7969230.0,,
119,479,,7217390.0,,
,119,,,,5180557.5
119,479,,,5180557.5,
119,479,6719887.0,,,
120,480,,5830918.0,,
120,481,,5924364.0,,
120,482,,8341031.0,,
120,483,,7121616.0,,
,120,,,,5180557.5
120,483,,,5180557.5,
120,483,6754257.0,,,
121,484,,5715913.0,,
121,485,,5821485.5,,
121,486,,7672753.5,,
121,487,,6923816.5,,
,121,,,,5180557.5
121,487,,,5180557.5,
121,487,6471676.0,,,
122,488,,5981334.5,,
122,489,,6039630.0,,
122,490,,7869620.0,,
122,491,,7456881.0,,
,122,,,,5180557.5
122,491,,,5180557.5,
122,491,6738674.0,,,
123,492,,5607197.0,,
123,493,,5790029.0,,
123,494,,7842001.5,,
123,495,,6898599.0,,
,123,,,,5180557.5
123,495,,,5180557.5,
123,495,6476787.5,,,
124,496,,5714489.5,,
124,497,,5821656.5,,
124,498,,7242065.5,,
124,499,,7592953.0,,
,124,,,,5180557.5
124,499,,,5180557.5,
124,499,6434394.5,,,
125,500,,5246193.5,,
125,501,,6199278.0,,
125,502,,8012390.0,,
125,503,,7907476.5,,
,125,,,,5180557.5
125,503,,,5180557.5,
125,503,6672489.0,,,
126,504,,5372492.0,,
126,505,,6229412.0,,
126,506,,7724862.5,,
126,507,,6862825.5,,
,126,,,,5180557.5
126,507,,,5180557.5,
126,507,6497443.5,,,
127,508,,5955903.5,,
127,509,,5872236.0,,
127,510,,7588067.5,,
127,511,,7412102.5,,
,127,,,,5180557.5
127,511,,,5180557.5,
127,511,6595422.0,,,
128,512,,6125874.5,,
128,513,,6073567.0,,
128,514,,7422744.5,,
128,515,,7061967.0,,
,128,,,,5180557.5
128,515,,,5180557.5,
128,515,6609126.5,,,
129,516,,5696899.5,,
129,517,,6042551.5,,
129,518,,7481052.5,,
129,519,,7436259.0,,
,129,,,,5180557.5
129,519,,,5180557.5,
129,519,6541917.0,,,
130,520,,5752573.5,,
130,521,,6577710.5,,
130,522,,7581003.0,,
130,523,,8643439.0,,
,130,,,,5180557.5
130,523,,,5180557.5,
130,523,6900371.5,,,
131,524,,5897054.5,,
131,525,,6117092.5,,
131,526,,8045564.5,,
131,527,,8157009.5,,
,131,,,,5180557.5
131,527,,,5180557.5,
131,527,6879524.0,,,
132,528,,5408295.0,,
132,529,,5710838.0,,
132,530,,7424902.0,,
132,531,,7161291.0,,
,132,,,,5180557.5
132,531,,,5180557.5,
132,531,6309935.5,,,
133,532,,5702749.5,,
133,533,,5986501.5,,
133,534,,7851012.0,,
133,535,,7267466.0,,
,133,,,,5180557.5
133,535,,,5180557.5,
133,535,6612368.0,,,
134,536,,5623329.0,,
134,537,,6209606.5,,
134,538,,7531094.5,,
134,539,,6889956.5,,
,134,,,,5180557.5
134,539,,,5180557.5,
134,539,6511795.0,,,
135,540,,5635538.0,,
